Receiving Date,Locations,DTF Lot #,DTF Part #,Status,Allergen,Material Name,Supplier/MFG,Lot/Batch,EXP. Date,Start Day Stock,Current Stock,Filter Moving/Date,Check/Cycle count,Category (1 Raw)(2 Flavor),Price Per Kilo,Total cost,Ready To Archive
Oct 19 2024,B12 / Cooler 1 / Overflow,DTF-249012,FL-7126,Hold,Milk,Green Apple Flavor Art,Glanbia Nutritionals,754031,,24.42,4.37,Yes 3/2025,recount,2,117.38,,
Jun 21 2024,Cooler 1,DTF-249450,FL-6947,Active,None,Pineapple Flavor Nat WONF,sensapure flavors,680030,12/13/2025,20.96,13.48,Yes 3/2025,OK,2,156.71,3284.71,TRUE
5/1/2025,"B12, A1, B1",DTF-256526,FL-8433,Active,Milk,Chocolate Flavor Nat,Sensapure,885194,May 01 2027,6.06,0.73,Yes 3/2025,ok 5/2025,2,$17.10/kg,12.48,
2024-03-04,"B2, B12",DTF-243591,RM-1750,Active,,Methylcobalamin (B12) 1%,NutraSci LLC,401774,3/4/2025,56.11,11.32,moved 1/12/25,recount,1,,,
2024-04-06,A1 & C4,DTF-241791,RM-4657,Active,None,L-Theanine,Glanbia,LOT452374,4/6/2025,79.25,30.64,,ok 5/2025,1,$16.04/kg,491.34,y
6/18/2025,A2,DTF-254570,RM-5374,QUARANTINE,None,Whey Protein Isolate 90%,Glanbia Nutr.,710646,6/18/2027,74.1,,Yes 3/2025,,1,$69.18,,
1/27/2025,Cooler 1,DTF-254567,RM-4752,Active,None, Sucralose,Sensapure,B552895,1/27/2026,72.81,50.61,Yes 3/2025,OK,1,82.87,,
9/22/2025,Cooler 1,DTF-256019,FL-7126,Hold,Soy, Green Apple Flavor Art,Glanbia,LOT138093,,112.72,35.59,,,2,132.85,4728.27,y
4/17/2025,C7,DTF-259032,RM-7543,Active,Tree Nut (Coconut),MCT Oil Powder 70%,Anderson,792544,Apr 17 2026,77.9,15.29,Yes 3/2025,ok 5/2025,1,38.87,3028.31,y
,A2 & Cooler 1 & C4,DTF-248407,RM-3340,,None,Silicon Dioxide,FlavorSum,721027,2027-06-19,42.51,,,,1,29.30,1245.42,
2026-06-03,B12 & B1,DTF-262348,FL-9479,active,None,Cotton Candy Flavor Art,Flavor Sum,LOT593761,,17.25,17.14,,ok 5/2025,2,,1333.43,
,B12,DTF-259140,RM-7572,Active,None,Monk Fruit Extract 25% MV,Blue California Inc.,B534369,5/30/2028,91.85,,Yes 3/2025,ok 5/2025,1, 30.21 ,876.09,
,Rack 2 shelf 4,DTF-248308,FL-2040,QUARANTINE,,Fruit Punch Flavor N&A,Anderson,LOT481579,Mar 16 2026,55.68,4.77,,OK,2,70.35,335.56,y
